y,p1,p22,p32,p42
0.0,0.0,0.0,0.043859649,0.079365079
0.0,0.018181818181818184,0.0,0.071428571,0.09649122800000001
0.0,0.0,0.2,0.079365079,0.02
0.0,0.004040403999999999,0.054545455,0.02,0.03968254
0.0,0.002923976555555555,0.0,0.095238095,0.0
0.0,0.010638297888888888,0.021276596000000002,0.007936508,0.0
0.0,0.00606060611111111,0.090909091,0.055555556,0.02
0.0,0.0,0.0,0.007936508,0.14
1.0,0.01010101011111111,0.054545455,0.031746032,0.08
0.0,0.0,0.0,0.071428571,0.02
0.0,0.0025062657142857145,0.0,0.02,0.055555556
0.0,0.0,0.078947368,0.08,0.077586207
0.0,0.0,0.0,0.09482758599999999,0.02
0.0,0.0,0.063829787,0.068965517,0.06
0.0,0.031578947200000006,0.078947368,0.06,0.077586207
0.0,0.034090909125,0.072727273,0.06,0.043103447999999996
0.0,0.2,0.2,0.1,0.08620689699999999
0.0,0.0,0.0,0.066666667,0.060344827999999996
0.0,0.8,0.0,0.0,0.0
0.0,0.553191488,0.0,0.0,0.0
0.0,0.011363636333333331,0.06818181799999999,0.11,0.034482759
0.0,0.012962962999999997,0.033333333,0.12,0.051724137999999996
0.0,0.011363636333333331,0.079545455,0.05,0.068965517
1.0,0.0055555555,0.04444444400000001,0.10344827599999999,0.06
1.0,0.0,0.0,0.06,0.034482759
0.0,0.02040816328571429,0.0,0.051724137999999996,0.03
0.0,0.020833333333333332,0.0,0.05,0.0
0.0,0.0,0.14285714300000002,0.0,0.0
0.0,0.0,0.111111111,0.1,0.0
1.0,0.043636363600000005,0.072727273,0.035087718999999996,0.0
1.0,0.004545454400000001,0.022727273,0.1,0.01754386
1.0,0.0363636365,0.036363636,0.052631579000000005,0.0
0.0,0.142857142,0.14285714300000002,0.0,0.040816327
0.0,0.17857142875000004,0.035714286,0.1,0.06122449
0.0,0.23809523833333338,0.0,0.035714286,0.06122449
0.0,0.185185185,0.111111111,0.071428571,0.030612245
0.0,0.11666666699999999,0.15555555599999998,0.020408163,0.035714286
0.0,0.5,0.193181818,0.020408163,0.1
0.0,0.7000000019999999,0.0,0.0,0.0
0.0,1.11111111,0.0,0.0,0.0
0.0,0.016,0.146666667,0.060344827999999996,0.0
0.0,0.04000000000000001,0.0,0.083333333,0.08620689699999999
1.0,0.0293333334,0.10666666699999999,0.08620689699999999,0.083333333
0.0,0.0,0.083333333,0.11206896599999999,0.0
1.0,0.004464285714285714,0.09375,0.034482759,0.041666667000000004
0.0,0.0,0.0,0.013071895,0.041666667000000004
0.0,0.040178571428571425,0.15625,0.065359477,0.083333333
0.0,0.0,0.0,0.00952381,0.2
0.0,0.10909090919999999,0.181818182,0.05714285700000001,0.066666667
1.0,0.026373626400000013,0.054945055,0.0,0.076190476
0.0,0.10909090919999999,0.090909091,0.019047619,0.133333333
