Tot_Match_Played,Tot_Runs,batsman,run_Over_1,run_Over_10,run_Over_11,run_Over_12,run_Over_13,run_Over_14,run_Over_15,run_Over_16,run_Over_17,run_Over_18,run_Over_19,run_Over_2,run_Over_20,run_Over_3,run_Over_4,run_Over_5,run_Over_6,run_Over_7,run_Over_8,run_Over_9
10.0,209.0,SP Fleming,11.0,2.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,17.0,36.0,15.0,17.0,25.0,25.0,12.0
8.0,156.0,S Vidyut,26.0,6.0,9.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,7.0,21.0,14.0,13.0,6.0,8.0,4.0
67.0,870.0,JA Morkel,1.0,18.0,39.0,60.0,56.0,62.0,63.0,67.0,131.0,134.0,185.0,0.0,0.0,1.0,11.0,1.0,6.0,10.0,5.0,20.0
3.0,33.0,LPC Silva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,2.0,2.0
25.0,367.0,DB Ravi Teja,6.0,5.0,19.0,27.0,34.0,23.0,31.0,50.0,34.0,29.0,38.0,11.0,0.0,13.0,13.0,6.0,7.0,12.0,5.0,4.0
8.0,100.0,Misbah-ul-Haq,0.0,2.0,17.0,2.0,4.0,8.0,7.0,2.0,13.0,2.0,1.0,0.0,0.0,9.0,6.0,12.0,2.0,2.0,5.0,6.0
10.0,181.0,YV Takawale,12.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,12.0,41.0,32.0,20.0,12.0,11.0,13.0
5.0,10.0,RR Raje,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,Mohammad Asif,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4.0,GD McGrath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,30.0,Joginder Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,72.0,MS Gony,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,2.0,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,18.0,M Muralitharan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
