Team
Sunrisers Hyderabad
Royal Challengers Bangalore
Mumbai Indians
Rising Pune Supergiant
Gujarat Lions
Kolkata Knight Riders
Kings XI Punjab
Delhi Daredevils
Chennai Super Kings
Rajasthan Royals
Deccan Chargers
Kochi Tuskers Kerala
Pune Warriors
Rising Pune Supergiants
""
